as i am new to this sport and am currently living in edinburgh it is easy for me to find some good routes to ride but i am	coming	home to nottingham soon for a couple of weeks and am very keen to ride whilst i am home . [SEP] Could someone please suggest some routes around nottingham (if there are any ) for me to ride my email is REDACTED	natural	Wacky 3432	come	natural	natural	2	none	homebase	Nottingham	
I'm sorry no one was at home last night when you	came	to my house.	predicted grammatical	Gathercole	come	predicted grammatical	natural	3	none	homebase	homebase	
I won't be home, but	come	this afternoon to clean the house.	predicted grammatical	Gathercole	come	predicted grammatical	natural	1	none	homebase	homebase	
What could I have said to you? [SEP] I would cross the country to see you, but you wouldn't know who I was. [SEP] I wouldn't know who you were. I would	come	into your room, and what would I see? [SEP] A haggard, white-haired oh! woman, losing her mind.	natural	COCA; 2011; Sep 2011; Over Martinis, Driving Somewhere; Linney, Romulus; Cooney, Eleanor; FIC: American Theatre	come	natural	natural	1	none	listener	into your room	
Before the Wall came down, I often stood below the Dahme lighthouse and looked over at the line of cliffs along Kltzer Winkel. [SEP] I whispered your name into the wind so that it would carry my words across to you. [SEP] I sent word that I would	come	to fetch you. [SEP] And that Raddeck would pay for taking you away from me. [SEP] He forced my freedom upon me, and he held you hostage.	natural	COCA; 2011; May/Jun 2011; The Light in the West; George, Nina;  FIC: World Literature Today	come	natural	natural	1	none	listener	X & V	
I want you to promise me something kiddo. [SEP] I want you to promise me you won't stop living. [SEP] Promise you won't just shut off and stop being you. [SEP] I couldn't handle knowing I was the cause of that. [SEP] So please promise me? [SEP] The world needs more of you, not less. [SEP] Take care of Darry for me, alright? [SEP] And try not to kill each other, I'm not there to play referee anymore. [SEP] And you better get into college and stay there or, so help me god, I 'll	come	down and haunt you kid. [SEP] As a full time student you'll avoid the draft, if the wars still going. [SEP] I want you to know that I'll always be with you, ok? [SEP] I'll be there every dumb mistake, triumph, breakdown, or whatever else. [SEP] I'm never leaving you. [SEP] I love you so much.	natural	COCA; 2019 (11/5); T; It's not fair	come	natural	natural	1	none	listener	down	
" Where's your car? How did you get to the A &P?"; [SEP] " I walked there. I'm protesting War for Oil. " [SEP] " But it's okay for me to pick you up? " [SEP] " Don't force me to be consistent. [SEP] I was arrested for Christ's sake. [SEP] I would	come	get you if you were arrested. [SEP] " [SEP] " [SEP] But I've never been arrested, Mum. [SEP] I may have done some very stupid things in my time, but somehow I've managed never to get arrested. [SEP] " [SEP] " [SEP] That's one of the many differences between us, " my mother said, ominously.	natural	COCA; 2009; 2009, Vol. 94 Issue 2, p223-246, 24p; Ribbons Then Fever.; Lehner, Christine; FIC: Southwest Review	come	natural	natural	1	none	listener@ET	X & V	
How the whole region would stare and gabble if we rode into the market-square together. [SEP] No one living can remember seeing a Znaeym and a von Gradwitz talking to one another in friendship. [SEP] And what peace there would be among the forester folk if we ended our feud tonight. [SEP] And if we choose to make peace among our people there is none other to interfere, no interlopers from outside... [SEP] I would	come	and feast on some high day at your castle... [SEP] I would never fire a shot on your land, save when you invited me as a guest.	natural	COCA; 2008 (Dec 12, 2008); Vol. 58, Iss. 8; pg. 20, 4 pgs;The Interlopers; FIC: Read	come	natural	natural	1	none	listener@ET	X & V	
Here his mind became altogether distracted from classic lore , by the appearance of a very unclassic boy , clad in a suit of brown corduroys and wearing hob-nailed boots a couple of sizes too large for him , who ,	coming	suddenly out from a box-tree alley behind the gabled corner of the rectory , shuffled to the extreme verge of the lawn and stopped there , pulling his cap off , and treading on his own toes from left to right , and from right to left in a state of sheepish hesitancy .	natural	Wacky 582	come	natural	natural	2	none	protagonist	none	
As Luc lived alone in Lyon, his son tried hard to	come	there every week.	predicted grammatical	Charnavel (to appear)	come	predicted grammatical	natural	1	none	protagonist	there	
it seemed as if they might cut back her hours since the Scanlen's daughter was about to finish college, and needed some extra money. [SEP] So she got another part time job telemarketing from home for a home maintenance company. [SEP] She'd spend five hours down at the mill and then make phone calls for five more hours, and would be lucky to make eighty bucks in the bargain. [SEP] I would	come	over and help her out at times, but she always said she could do it herself.	natural	COCA; 2006 (Spring); # . Vol. 38, Iss. 2; pg. 116, 14 pgs; THE FIRE PIT; Nathan Leslie; FIC: The South Carolina Review	come	natural	natural	1	none	protagonist	over	
In those years, Helen Morrisey was more help than Lavinia would have guessed. [SEP] She'd drop by once a month with a pot of jam and a book for Lavinia to read, something Lavinia in her fatigue had to work hard to concentrate on. [SEP] But the mental effort reassured her, and she was strengthened by Helen's belief that she was still capable of abstract thought. [SEP] Helen would	come	on a Friday morning-she worked a four-day week-and talk to Lavinia about politics. [SEP] She was a draft counselor and encouraged Lavinia to get involved, but Lavinia said she was in an awkward position generationally; she'd feel uneasy advising men not much younger than herself. [SEP] She was sure they'd see her as an East Side matron with two children, and it would make her feel finished, done up.	natural	COCA; 1997 (Jan); Vol. 294, Iss. 1760; pg. 69, 7 pgs; Bishop's house; Gordon, Mary; FIC: Harper's Magazine	come	natural	natural	1	none	protagonist	none	
At a decent interval after his seventy-first birthday, Martine sat him down: she was leaving him, moving to New York. [SEP] To be with a man he presumed she'd met at that conference-last fall, had it been? [SEP] -from which she'd returned two days late, after supposedly seeing friends and taking in the new production of " Cos " at the Met. [SEP] She would	come	up a couple of days a week to teach the rest of her classes, then figure out what was next. [SEP] She would ask for nothing in their settlement. [SEP] Well, no blame to her: if she lived to be ninety, as more and more people were doing, she had half her life ahead of her. [SEP] She said, " The one thing I swore not to do, I swore not to be trite and ask you to understand. "	natural	COCA;   2005; 3/28/2005, Vol. 81 Issue 6, p56-65, 10p, 1bw; A SECRET STATION; Gates, David; FIC: New Yorker	come	natural	natural	1	none	protagonist	up	
Grace's memories of these parking sessions - which might last till one or two in the morning - proved to be much hazier than her memories of sitting at the Traverses' round dining table or, after everybody had finally got up and moved, with coffee or fresh drinks, on the tawny leather sofa or the cushioned wicker chairs at the other end of the room. [SEP] (There was never any fuss about doing the dishes; a woman Mrs. Travers called " the able Mrs. Abel " would	come	in the morning. [SEP] ) [SEP] Maury always dragged cushions onto the rug and sat there. [SEP] Gretchen, who never dressed for dinner in anything but jeans or Army pants, usually sat crosslegged in a wide chair. [SEP] Both she and Maury were big and broad-shouldered, with something of their mother's good looks - her wavy caramel-colored hair, warm hazel eyes, easily sun-browned skin.	natural	COCA; 2004; 3/22/2004, Vol. 80 Issue 5, p76-89, 14p; Passion (Short story); Munro, Alice; FIC: New Yorker	come	natural	natural	1	none	protagonist	in the morning	
" Okay, " [SEP] I say, as if she'd actually answered me. [SEP] " It's all right if you don't want to talk for now. But not forever, right? I love that voice of yours. Cheerio. Let's take the lift and go to the loo, " [SEP] I say in my best British impression, which used to be a surefire way to make her laugh. [SEP] " Speak like me, Mummy, Auntie Ellie! " Sophie used to demand of Lucy and me when I would	come	to visit, and the two of us would go back and forth, spitting out all of the British expressions we knew. [SEP] Even after nearly a decade in London, and despite a husband and child whose inflections were as posh as the Queen's, Lucy's Boston accent had barely softened.	natural	COCA; 2009; New York : Dial Press,Edition: 1st ed.; After you; Buxbaum, Julie.; FIC: After you	come	natural	natural	1	none	quotee	X & V	
I went to see Professor Smith in Lupton Hall earlier today. [SEP] While I was there, John	came	to Lupton to meet with Professor Rogers.	predicted grammatical	Barlew	come	predicted grammatical	natural	3	none	speaker @ ET	goal	
He used his excellent colour slides to give talks about his work and I know of several people who took up an active interest in archaeology after being inspired by one of his talks . [SEP] I always found him a modest man .   [SEP] If I came back to him with information about his discoveries he was delighted - as if I was doing him the favours , rather than the other way round . [SEP] He was generous to a fault . [SEP] He would	come	to the Museum with some new exciting find he had made - and happily hand it over for the archaeologists to pontificate over and for it to eventually finish up in the Museum 's collection .	natural	Wacky 13524	come	natural	natural	1	none	speaker @ ET	museum	might be UT
I lifted the rope , and slid away from the busy ski area down a gentle slope . [SEP] At the bottom was a picturesque , Walden-Pond-in-winter scene : a small , frozen lake surrounded by trees , and not a person in sight . [SEP] But as I poled myself across the plateau another , more vigorous skier	came	past me . [SEP] What was the correct etiquette here , in a no-man's-land officially closed to skiers ? [SEP] Should we exchange mischievous smiles , or deny our own presence by ignoring each other , like a cat that puts its head under a blanket so that it ca n't be seen ?	natural	Wacky 361	come	natural	natural	3	none	speaker @ ET	none	
We do not know Alan Turing 's dreams , but he certainly needed escape from the Britain of the Fifties . [SEP] Unable to travel to the future to where he belonged , only travel abroad offered the chance of freedom . [SEP] He remained very interested in learning Danish and Norwegian . [SEP] He mentioned in 1953 the possibility of getting a job in France , but nothing came of it . [SEP] In summer 1953 he took a holiday in Corfu , Athens and Paris . [SEP] He	came	back with a list of men he had met ( which I saw in 1978 before it was destroyed by a censorious employee of the Atomic Weapons Research Establishment. ) These were the days of panic in the Cold War .	natural	Wacky 1393	come	natural	natural	3	none	speaker @ ET	England	
On Monday I started crying as I left for Simone's spring conference, because... [SEP] I'm not sure. [SEP] The closest I could figure was that it was because Scott had class and couldn't	come	with me, and also I hadn't slept well the night before, and also I wanted a piece of cake but wasn't allowed.	natural	CORE; Personal Blog; Flotsam — Deplorable solipsism? The new face of literature? Or; http://flotsamblog.com/	come	natural	natural	1	none	speaker @ ET	conference	
I shopped on Wednesday for the big day, and brined the smaller tom. [SEP] Thanksgiving was at my mom's. [SEP] My friend Brenda	came	with her folks, and Laura joined us with a fantastic cranberry salsa. [SEP] I had to make a couple of changes to the menu, since Laura is allergic to mushrooms, and Brenda's mom is allergic to dairy proteins. [SEP] Nothing major that ruined the meal.	natural	CORE; Personal Blog; Still Thankful and Thanksgiving « Poverty with a View; http://majorasue.wordpress.com/2012/11/25/still-thankful-and-thanksgiving/	come	natural	natural	3	none	speaker @ ET	mom's house	
On Tuesday I accidentally left my wallet at the grocery store. [SEP] When I	came	back to get it, I knocked over a display of animal cracker boxes.	predicted grammatical	my own notes	come	predicted grammatical	natural	3	none	speaker @ ET	back	
MOORE[SEP] I did. [SEP] I went to lower school and middle school and high school at the Lab Schools, just a couple blocks away from where we're sitting right now. [SEP] AXELROD[SEP] Yeah. [SEP] What was that like? [SEP] MOORE[SEP] It was a great place. [SEP] I mean you probably know the University of Chicago a lot more intimately than I do. [SEP] I was just here as a kid but, you know, I grew up in Hyde Park or in Lincoln Park on the north side and I would	come	down here to school every day and being like on a university campus having professors around. [SEP] You know, a lot of my friends at school were the children of professors. [SEP] That was just kind of a very studious academic-minded rigor to the whole thing which I'd think, you know, in hindsight probably set up a lot of the interests and the excitements that follow me to what I do now.	natural	COCA; 2016 (160906); Interview with Graham Moore; SPOK: AXE FILES 12:00 AM EST	come	natural	natural	1	none	speaker@UT	here	
MARY-J-BLIGE: When I was a kid, I needed to sing because it makes me feel good about myself. [SEP] It makes me feel good, period. [SEP] BYRON-PITTS: Really? [SEP] You needed to sing. [SEP] MARY-J-BLIGE: I needed to. [SEP] I needed to because when I was having like, a down day, you know, I would	come	down here. [SEP] Right down, you know, right down to the pier and sing, like really loud.	natural	COCA; 2011 (111127);  For November 27, 2911, CBS; SPOK: CBS_SunMorn	come	natural	natural	1	none	speaker@UT	down here	
CHIDEYA: Missale, how did you enter life in Atlanta? [SEP] Did you come from some place else in the U.S. or how did that all work? [SEP] Ms-AYELE: Initially, I came in the early' 80s. [SEP] When I came to the United States, I was going to a boarding school in Kentucky, but I had family in Atlanta so I would	come	on vacation here. [SEP] And then as I finished high school, I went to Georgia State undergrad and then law school at Georgia State. [SEP] Then I left Atlanta and moved to California, where a lot of immigrants were at the time, and I was doing immigration law.	natural	COCA; 2008 (080415); Atlanta^s Immigrant Community; SPOK: News & Notes 1:00-2:00 PM	come	natural	natural	1	none	speaker@UT	on vacation here	
The sunlight falls into the room through the top windows. [SEP] It's a big classroom, holds one fifty in a marble building. [SEP] The oldest on campus. [SEP] The pillars and doorways chiseled Grecian columns and archways. [SEP] I would	come	to class even if I didn't like learning the stories and culture of southern Africa just to look at the sun glancing off the marble and dashing off the swaying bouncing leaves outside the windows. [SEP] It's hot in here.	natural	COCA; 2008; Fall2008, Vol. 34 Issue 3, p555-557, 3p; Click Click.; Stark, Christine; FIC: Feminist Studies	come	natural	natural	1	none	speaker@UT	to class	
You know, it's been said that if you observe the human condition long enough, you'll eventually come to understand it. [SEP] Whoever said that must never have	come	to this part of the world.	natural	COCA: 2000 (20001015); MIDDLE EAST'S TORTURED RECENT HISTORY; SPOK: CBS_Morning	come	natural	natural	5	none	speaker@UT	to this part of the world	
The producers also succeeded in their experiment with distribution . [SEP] U-Carmen eKhayelitsha had its South African premiere in Khayelitsha in March 2005 in the very same building in which the last scene of the film is shot . [SEP] A month long roll out in the same venue followed , with audiences of 1,500 people per day	coming	to see the film , and an extra screening time per day added in the last week . [SEP] South African distributor Ster Kinekor snapped up the rights within Africa and U-Carmen eKhayelitsha opened at selected outlets last May . [SEP] And the rest is hysteria .	natural	Wacky 1480	come	natural	natural	2	none	theme	none	
From this picture of the landscape you can see how the town grew up where a major road from England up the Usk valley to Brecon passed a crossing point on the river . [SEP] The town itself is much smaller than it is today . [SEP] On the right hand side of High Street ( the eastern side ) there are only a few houses and there is much empty space around the church ( marked as a cross ) . [SEP] The town would be the market centre for the area , where people would	come	to sell their produce .	natural	Wacky 30479	come	natural	natural	1	none	theme	town	
You're tracing the footsteps of the Continental Army across Valley Forge National Historical Park, soaking in the history, picturing what went on there. [SEP] Your feet stumble on the same bumps and grooves that Washington's men trod upon during the Revolutionary War. [SEP] You pause for a moment to drink in the beauty of the Schuylkill River, where hungry soldiers caught American shad swimming upriver in spring. [SEP] Engrossed in thought, you	come	to the top of a small hill, look up, and find yourself facing the brick walls and insulated windows of a... conference center. [SEP] And a hotel. [SEP] And a massive parking lot.	natural	COCA; 2008 (Spring 2008); Vol. 82, Iss. 2; pg. 44, 6 pgs; OUT OF AMMUNITION; Kim Fernandez; MAG: National Parks	come	natural	natural	1	none	theme	to the top of a hill	
He was surprised to see me, of course, having no idea of what I'd planned, and as always he made a slight gesture with his hand by way of greeting, conserving what little speech he was capable of for emergencies, or, if there had been none that day, then for the night, when he could squander his fifteen sentences all at once, in what amounted to the last gift I would ever receive from him. [SEP] I dithered for a moment, trying to invent a reasonable lie for why I would	come	to his room at such a strange time of day, and then, in a moment of laziness, just gave up and reached for the box on top of the armoire, holding it to my chest and turning quickly from the room.	natural	COCA; 2011; Summer 2011; The Other László Erdész; Dobozy, Tamas; FIC: Literary Review	come	natural	natural	1	none	theme	to his room	
With the advent of hospice, many of us have been given the terrible gift of walking alongside those we love who are dying. [SEP] When my mother's dying began in earnest she'd call from her bed, " Girls! " My sister and I would	come	running. [SEP] " What, Momma? " " You've got to do something about all these children playing under my bed. " My sister Amy stood at one side of the bed, I on the other. [SEP] Our eyes met. [SEP] This wasn't the first time those children had been caught playing under Mom's bed. [SEP] We had a plan. [SEP] " Mom, you're having another hallucination. "	natural	COCA; 2010 (Mar 9, 2010); Vol. 127, Iss. 5; pg. 12, 2 pgs; Lent's terrible gift;  Kay Lynn Northcutt; MAG: Christian Century	come	natural	natural	1	none	theme	X & V	
We were both very young and, alas, much thinner then. [SEP] He lived in Batticaloa, the capital town of the Batticaloa district, and I used to see him periodically when I rode the thirty miles to town on my motor bike to visit its pink stucco library or the old stone Dutch fort which housed the District's government offices. [SEP] We were drawn together out of a mutual love of philosophy, or, at the very least, of philosophizing, and so, when I would	come	, we would sit for hours on the crumbling concrete pad of his family's former veranda - its red tile roof having been blown away in a 1978 cyclone - or in the ruins of his father's library, smoking cigarettes, eating his mother's wonderful food, and debating.	natural	COCA; 2004 (Summer); Summer2004, Vol. 77 Issue 3, p469-498, 30p; Tamilnet.com: Some Reflections on Popular Anthropology, Nationalism, and the Internet.; ACAD: Anthropological Quarterly	come	natural	natural	1	none	theme	none	
The commerce, in this part of town anyway, tended toward goods and services that pampered and cosseted. [SEP] Except for the contents of one hardware store (specializing in brass house numbers and Ralph Lauren paints) and one deli, there was nothing for sale that anyone could possibly consider a necessity. [SEP] If, on the other hand, you were looking for candlesticks in the shape of fez-wearing monkeys and were willing to pay $183, you 'd	come	to the right place. [SEP] But for the occasional thirtyish male with shaved head and tiny glasses tapping away on a screenplay in Starbucks, the district might be a sorority composed of women twenty-five and up.	natural	COCA; 2008;  New York : St. Martin's Press,Edition: 1st ed.; Fear and yoga in New Jersey; Galant, Debra.; FIC: Fear and yoga in New Jersey	come	natural	natural	5	none	theme	to the right place	
" I had a had dream. " [SEP] " I know. " [SEP] " Vipers in my bed. " [SEP] " There aren't any vipers in your bed. " Nor many on the island, either, since the two-year storm that kept them in hibernation far longer than was normal. [SEP] Ninety percent of the livehorn young died quietly in their sleep, not having accrued enough energy to avoid starvation. [SEP] " Choking me. " [SEP] " Vipers don't choke people, Kris. [SEP] They don't like people. [SEP] If they feel you	coming	they just slither away. [SEP] " [SEP] " [SEP] Can you sleep in my bed? [SEP] " [SEP] " [SEP] No. [SEP] Mamma's working. [SEP] "	natural	COCA; 2017; New York Vol. 137, Iss. 1/2,  (Jan/Feb 2017): 110-121; The Shallowest Waves; Dyer, Thoraiya; FIC: Analog Science Fiction & Fact	come	natural	natural	2	none	theme	none	
The house of my paternal grandparents in central Switzerland: that was the " other " home of my childhood. [SEP] And at the same time, it was another world. [SEP] Back then, it took a long time to get there, and that universe had nothing to do with my life in Paris: it was completely surrounded by countryside, and I was rid of the school I hated. [SEP] From early on, I	came	there alone. [SEP] I was reunited with my Roman cousins and experienced a completely different lifestyle. [SEP] I smelled different odors. [SEP] I saw new lights both outside and inside the home where, once evening fell, the large lamps spread out on various pieces of furniture or hanging above the big dinner table made centers of luminous warmth.	natural	COCA;   2019;  Vol. 60, Iss. 1; An Inner Switzerland	come	natural	natural	3	none	theme	there	
I made it my business to listen to the mountain people's superstitious gossip about the visitors who called on Lizzy. [SEP] And how should I have known whether or not I should have believed them? [SEP] According to their reports the entirety of that group of wondrous girls had one by one returned to Owl Mountain and knocked on Miss Lizzy Pettigru's door, along with their husbands and children from the far distant places where events in their lives had taken them. [SEP] The postmistress told me that she saw letters from them that must have announced they were	coming	and saw letters go back to them from Lizzy Pettigru that must have told them they would be welcome when they arrived. [SEP] (The postmistress was very open about all her observations and shameless in her speculations.) [SEP] Sometimes it was postcards they would write her and it was welcoming postcards that she would send back.	natural	COCA: 1991 (Winter); Gambier: Winter 1991. Vol. 13, Iss. 1; p. 1 (28 p;  The Witch of Owl Mountain Springs: An Account of Her Remarkable Powers; Taylor, Peter.; FIC: Kenyon Review	come	natural	natural	2	other; announce	protagonist	none	
Elspeth went to organize Deena. [SEP] She found her sitting on the floor playing peeka-boo with a solemn, round-headed baby; the parents had stopped in to ask about life insurance and were studying a brochure. [SEP] Elspeth had last seen her mother a fortnight before she died. [SEP] Flora had rung the office to ask if she was interested in the new Clint Eastwood film. [SEP] Although Elspeth was unexpectedly free-Barry had just announced he couldn't	come	to supper that evening-she made some lame excuse about work. [SEP] She got through the remainder of the afternoon, typing furiously, but as she carried the groceries she had bought at lunchtime up the stairs to her flat, despair overcame her.	natural	COCA; 1996 (Fall), Iss. 97; pg. 197, 29 pgs; The history of boys; Livesey, Margot; FIC: Triquarterly	come	natural	natural	1	other; announce	protagonist	to supper	
I smiled with my lips closed , hefting my shoulder bag and feeling the extra weight of my splat gun . [SEP] This was David 's run , not mine , and about as benign as you could get - adjusting the claim of an earth witch whose wall had cracked . [SEP] I would n't need the sleepy-time charms I loaded my modified paint ball gun with , but I had just grabbed my bag and went when David had asked me to	come	with him	natural	AmE06_M05	come	natural	natural	1	other; ask	accompaniment	none	
Like you I am nervous of running in the darm but if I have to, I normally stay on well trafficked areas with lots of street lights. [SEP] When that is not an option I either ask a buddy to	come	with me, or take my dog or hit the gym and run on the treadmill.	natural	CORE; Personal Blog; Just A Colorado Gal: I'm Scared to Run in the Dark; http://www.justacoloradogal.com/2012/10/im-scared-to-run-in-dark.html	come	natural	natural	1	other; ask	accompaniment	come with	quantification!
Did he have any idea how I longed to be out of that room, to be away from them and back in Chicago with my wife, sitting in my own chair, sleeping in my own bed, living my own life? [SEP] I had arrived at the hospital three days earlier, after Connie had called again to tell me she'd been scheduled for almost immediate surgery and asked if I would	come	. I said what about Sammo and she said he would be there, but she would feel better if I was, too.	natural	COCA; 2017; Getting right; Gary D Wilson; FIC: Getting right	come	natural	natural	1	other; ask	attitude holder	none	
In an email to Kotaku, Taylor explained that the venue gave him his money back, and that even after he was escorted out, he asked if he could stay. [SEP] " When I was escorted out to the lobby, " Taylor said, " no one put their hands on me or anything a security worker politely asked me to	come	with him and I walked out under my own power, MC Chris's tour manager was waiting for me, as were representatives for Union Transfer, the venue.	natural	CORE; News Report/Blog; Geek Rap Star Kicks Fan Out Of Concert Over Tweet [Update]; http://kotaku.com/5927150/geek-rap-star-kicks-fan-out-of-concert-over-tweet	come	natural	natural	1	other; ask	attitude holder	none	
" You will always see new people with first issues, " [SEP] Nick Romeo told me. [SEP] He works at Bill's Books and More, a comic shop in Ohio. [SEP] " Existing customers may try a first issue but they don't want to commit to a whole new title right away. " [SEP] I asked Nick if he sees speculators	coming	in and scooping up multiple copies of first issues, and if those " investors " were still a prevalent force is the marketplace. [SEP] " We have multiple shops around us and depending on how they order and stock their shelves we could see even more traffic. The key is to not expect those numbers to continue, because of exactly that, people buying multiple copies for the future and the instant drop of 10-15 copies per title at the second issue. Cause no one speculates past [SEP]1, " [SEP] Nick said.	natural	COCA; 2016 (16-08-13); Reboot or Relaunch: Does the Numbering of Comic Books Matter?; MAG: Nerdist	come	natural	natural	2	other; ask	embedded listener	in	
When it got too dark to read, I walked home looking into people's windows. [SEP] A lot of them had cats in them, and when the lamps come on you can see right into the rooms. [SEP] There are some beautiful golden rooms between my house and Saint Peter's, just full of books from floor to ceiling. [SEP] Sometimes I wonder what would happen if I rang the bell outside one of those houses and asked the person who answered if it would be all right for me to	come	in.	natural	CORE; Personal Blog; Walkers in the City; http://walkersinthecity.blogspot.com/	come	natural	natural	1	other; ask	embedded listener	in	
I remembered our neighbors had just bought a new washer, so I asked them for the carton. [SEP] Mom drove us to the market for more boxes. [SEP] We bought a fat roll of duct tape, a bottle of glue, some string, and colored markers. [SEP] Then we built the best fort the neighborhood had ever seen. [SEP] " Where'd you get this? " Tucker asked. [SEP] " We built it, " I answered. [SEP] Nobody asked to	come	in. [SEP] They just walked around the outside.	natural	COCA;   1992 (19920317); THE HOME FORUM; How the Boxes of Fort WinnieAmanda Saved the Day; Jeanne Rondoe; NEWS: Christian Science Monitor	come	natural	natural	1	other; ask	speaker@ET	in	
Students were excited as they prepared to share their final, colorful compositions on the last day of the project. [SEP] Students were reminded of the culminating activity for the day's lesson: performing, sharing, celebrating, and assessing. [SEP] The music classroom became a miniature stage as the chairs were arranged to mimic a concert hall and a music stand was placed at the front. [SEP] Students were asked to share their composition by	coming	to the front and playing their song on their recorder for their classmates. [SEP] Students took turns performing and sharing, applauding, and treating each other respectfully, as concert etiquette was reviewed and respectful behavior was modeled. [SEP] It was truly a wonderful day and the excitement was contagious.	natural	COCA; 2014; Mar2014, Vol. 100 Issue 3, p73-78. 6p.; Composition and Recorders: A Motivating Experience; Birnie, Rebecca A.; ACAD: Music Educators Journal	come	natural	natural	2	other; ask	theme	to the front	
Take a personal interest in the children; just notice the individual child. [SEP] Find out what their strengths are, and then go on from there. [SEP] For example, today a student in my class asked me if I would	come	to his baseball game. [SEP] You have to make time to do the' extra' things, because it's real important to the student. [SEP] They must know that they're cared for and that they're loved. [SEP] You must love the kid, I mean almost be a parent, because often these kids don't even have parents.	natural	COCA; 2004 (Mar); Mar2004, Vol. 90 Issue 4, p38-43, 6p, 1bw; Who Is "At Risk" in the Music Classroom?; Robinson, Nicole R.1 nrobinson@vcu.edu; ACAD: Music Educators Journal	come	natural	natural	1	other; ask	embedded listener	to his baseball game	
