the risks a foreigner might face, we were prepared to make certain the precious creature	arrived	. . . alive? [SEP] Script notes by Quentin Quiet-noted treatment development reader for	#fiction#	fiction_TheStory.txt	arrive	written	OANC_written	3
only recommend sentence conditions, which ultimately are determined by prison officials. [SEP] (Although a word or two about how Duffy	arrived	at the 240 years would have been instructive.) [SEP] And the Times has the detail that Yousef	#journal#	journal_Article247_495.txt	arrive	written	OANC_written	3
she did not appear to have her own lawyer with her ( USAT ), that she	arrived	in a Starr van (the WP ), and was accompanied inside the courthouse by prosecutors (the WP and NYT ). [SEP] The WP notes the White House projected an air of	#journal#	journal_Article247_538.txt	arrive	written	OANC_written	3
testify at her obstruction of justice trial about Bill Clinton's truthfulness regarding Whitewater matters. [SEP] The dispatch mentions that McDougal	arrived	at her plea appearance in a prison jumpsuit and handcuffs. [SEP] Television footage	#journal#	journal_Article247_585.txt	arrive	written	OANC_written	3
being removed, but it took four or five hours before more experienced officers	arrived	to review the evidence. [SEP] The Times doesn't say why they weren't already there. [SEP] "Today's Papers" can handle that one--because the more	#journal#	journal_Article247_591.txt	arrive	written	OANC_written	3
bargaining. [SEP] Everybody writes that the U.S.-backed land-for-peace deal has been basically accepted. [SEP] The papers also say the two parties have	arrived	at compromises regarding the Palestinian National Covenant (which currently calls	#journal#	journal_Article247_729.txt	arrive	written	OANC_written	5
ring that allegedly brought Asian workers to the United States. [SEP] The workers endured long, dangerous trips to the U.S. and once they	arrived	were often held captive by their employers. [SEP] Janet Reno calls it the "largest alien smuggling	#journal#	journal_Article247_765.txt	arrive	written	OANC_written	3
The NYT front reports that preliminary figures suggest that Internet commerce really	arrived	this Christmas season, finally exceeding the hype. [SEP] And the Wall Street Journal has a stat about non-holiday Web	#journal#	journal_Article247_806.txt	arrive	written	OANC_written	3
calls "tit-for-tat tests of nuclear bombs" just 10 months ago. [SEP] Indian Prime Minister Vaypayee	arrived	in Pakistan by bus, a journey which inaugurated motorcoach service between the two countries (before yesterday, one had to take	#journal#	journal_Article247_863.txt	arrive	written	OANC_written	3
leading to the kitchen. [SEP] The note demanded $118,000 for the return of JonBenet. [SEP] Police	arrived	at the Ramsey home to monitor incoming phone calls, left a few hours later, and returned with a warrant to search the house for evidence of a	#journal#	journal_ArticleIP_1061.txt	arrive	written	OANC_written	3
paperback book emerged to tap the popular market, and mall-based chains such as Waldenbooks and B. Dalton	arrived	to make the book market a true mass market.	#journal#	journal_ArticleIP_1082.txt	arrive	written	OANC_written	3
skeleton with Caucasoid features discovered recently in Washington state. [SEP] The 9,000-year-old skeleton is evidence that Europeans	arrived	in the United States before Native Americans, who migrated from Asia. [SEP] Native Americans insist that	#journal#	journal_ArticleIP_1183.txt	arrive	written	OANC_written	3
say, not as I've done. [SEP] It is permissible, I believe, to shop like a mad dog for your first child and, when Daughter No. 1	arrived	nearly two years ago, I did. [SEP] But when my auxiliary daughter appeared on the scene last month, I learned not	#journal#	journal_ArticleIP_12645.txt	arrive	written	OANC_written	3
of economic thought will find the tale of how Keynes gradually, painfully	arrived	at his ideas--and of how his emerging vision clashed with rival schools of thought--fascinating. [SEP] (Click for an example.)	#journal#	journal_ArticleIP_13630.txt	arrive	written	OANC_written	3
Pope John Paul II	arrived	in Cuba . [SEP] President Fidel Castro portrayed him as a fan of Cuban egalitarianism and an opponent of the U.S. embargo against Cuba. [SEP] While	#journal#	journal_ArticleIP_1522.txt	arrive	written	OANC_written	3
respect for life. [SEP] " As Prince Charles	arrived	Monday in Sri Lanka for an official visit marking the 50 th	#journal#	journal_ArticleIP_1714.txt	arrive	written	OANC_written	3
Although it was a coincidence that on the very day the last B-52s	arrived	in the Gulf, Lewinsky returned to Washington to "launch her bombs against Clinton," the	#journal#	journal_ArticleIP_1718.txt	arrive	written	OANC_written	3
cathedral in that north Italian city Sunday was the American tennis star André Agassi, who	arrived	there from Monte Carlo in a pale blue Rolls Royce, declaring himself to be "a deep believer."	#journal#	journal_ArticleIP_1736.txt	arrive	written	OANC_written	3
stirred the most controversy, since Missouri had executed a murderer shortly before the pope	arrived	in St. Louis. [SEP] Oddest moment: The pope's comparison of Christian evangelism to the home run exploits of Mark McGwire and Sammy Sosa.	#journal#	journal_ArticleIP_17797.txt	arrive	written	OANC_written	5
and Novak I grab my wallet, and the cynic in me says this magnanimity may have been	arrived	at only after much jujitsu with public opinion polls. [SEP] The Forgive and Forget strategy has this virtue for Republicans: It is the only way	#journal#	journal_ArticleIP_1795.txt	arrive	written	OANC_written	5
Ifigure that if I'm going to be part of a pointless media frenzy, I might as well do it right. [SEP] So I have	arrived	at the courthouse at 5 a.m. to scope the scene. [SEP] I am not the first. [SEP] A gaggle of journalists camps by	#journal#	journal_ArticleIP_1799.txt	arrive	written	OANC_written	5
folks have stayed outside, because cameras are banned, and others haven't	arrived	yet, because they don't expect Monica till 9. [SEP] Too bad for them. [SEP] A guard	#journal#	journal_ArticleIP_1799.txt	arrive	written	OANC_written	5
would have been enough for them. [SEP] But it does surprise me that Clinton's speech wasn't enough for me. I	arrived	at Jonah's in a forgiving mood: Let's get this over with. [SEP] I left a bit puzzled.	#journal#	journal_ArticleIP_1804.txt	arrive	written	OANC_written	3
sacrosanctity of his twice-weekly squash games, and cracking jokes like "The Welds	arrived	in 1630 with only the shirts on their backs and 2,000 pounds of gold."	#journal#	journal_ArticleIP_1827.txt	arrive	written	OANC_written	3
closed factories. [SEP] Scott's market value stood at about $3 billion when Dunlap	arrived	in mid-1994. [SEP] In late 1995, he sold Scott to Kimberly-Clark for $9.4 billion, pocketing $100 million for himself--a modest payoff, he says, for the	#journal#	journal_ArticleIP_1830.txt	arrive	written	OANC_written	3
Street loved what the newsroom loathed. [SEP] Times Mirror's costs plummeted. [SEP] Profits soared. [SEP] The stock has tripled from $18 when Willes	arrived	to nearly $60 today--the best performance of any big media company. [SEP] Publishing analysts say	#journal#	journal_ArticleIP_1836.txt	arrive	written	OANC_written	5
What does this calendar tell us about the Spice Girls? [SEP] They	arrived	in the summer of 1996. [SEP] So they'll be gone by this winter--just as soon as the Christmas shopping season is over.	#journal#	journal_ArticleIP_1840.txt	arrive	written	OANC_written	3
Democratic platform. [SEP] Her skills as an operator served her own career: When she	arrived	in Congress in 1979, she quickly inserted herself under the wing of House Speaker Tip O'Neill. [SEP] His sponsorship was critical to her	#journal#	journal_ArticleIP_1845.txt	arrive	written	OANC_written	3
schemer, a politician, a calculating populist who has built his career on sexy, attention-getting issues. [SEP] He is opportunistic. [SEP] He	arrived	at a convenient time in the tobacco fight: He had no strong feelings about the evil weed, and he	#journal#	journal_ArticleIP_1871.txt	arrive	written	OANC_written	3
Although Glenn Loury and I overlapped in graduate school--I	arrived	at MIT in 1974 and he left in 1976--I have never known him well. [SEP] But I do remember the joke classmates told about	#journal#	journal_ArticleIP_1934.txt	arrive	written	OANC_written	3
Iraq and to speed up the erosion of international sanctions against it. [SEP] Yet, when Aziz	arrived	in Ankara, President Suleyman Demirel bluntly refused to meet him, and he found himself boycotted by Turkey's political parties. [SEP] The	#journal#	journal_ArticleIP_20316.txt	arrive	written	OANC_written	3
To my vast delight, a Barnes & Noble superstore has	arrived	in Pittsford, N.Y., about a mile from my home in the neighboring town of Brighton. [SEP] I shop at Barnes & Noble several	#journal#	journal_ArticleIP_2040.txt	arrive	written	OANC_written	5
call. [SEP] But my diary shows endless fretting and nagging on my part as the sixth or the seventh or the 12 th of the month	arrived	and the check did not. [SEP] The situation improved only marginally when the monthly requisitions	#journal#	journal_ArticleIP_2057.txt	arrive	written	OANC_written	3
What a marvelous contrast to the slowpoke print media! [SEP] Except for Microsoft's payment, which	arrived	on Jan. 2, 1997, in an envelope bearing a Dec. 28, 1996, postmark. [SEP] The case law says, plain as day, that this is "constructive receipt"	#journal#	journal_ArticleIP_2057.txt	arrive	written	OANC_written	3
called the Mariners to see how they devised such a spectacular number. [SEP] The team repeatedly refused to explain how they	arrived	at the figure or to allow me to speak to whoever made the estimate. [SEP] Mariners PR Director Dave Aust stresses	#journal#	journal_ArticleIP_2095.txt	arrive	written	OANC_written	3
That always seemed fair to me, and I wouldn't expect more of others. [SEP] However, a few times the owners have	arrived	while I'm emptying the machine, and they have been apoplectic! [SEP] Most people either remove their laundry right away or leave it	#journal#	journal_ArticleIP_21008.txt	arrive	written	OANC_written	5
the city's symbol of progress. [SEP] My family insists on calling the big black skyscraper that soars over downtown the "box" that the Space Needle	arrived	in.	#journal#	journal_ArticleIP_2136.txt	arrive	written	OANC_written	5
When I first	arrived	here 25 years ago, a few pulp mills, logging, fishing, and farming fleshed out the economy. [SEP] The million-acre wilderness of Olympic	#journal#	journal_ArticleIP_2139.txt	arrive	written	OANC_written	3
Right now I place it six miles east of Port Angeles at the Port Angeles Speedway. [SEP] Not long ago, some newly	arrived	speedway neighbors petitioned Clallam County for an ordinance regulating the track's excessive noise. [SEP] The	#journal#	journal_ArticleIP_2139.txt	arrive	written	OANC_written	3
By the time Monica Lewinsky	arrived	in Britain Sunday to begin an 18 city book signing tour, the British press seemed to have exhausted its interest in her. [SEP] After massive	#journal#	journal_ArticleIP_21410.txt	arrive	written	OANC_written	3
Magazine ran a long article (by Benjamin Stein) titled "A Scenario for a Depression?" which suggested that "the nation has	arrived	at a new spot on the economic map where the old remedies--or what we thought were remedies--have	#journal#	journal_ArticleIP_21569.txt	arrive	written	OANC_written	5
I note one glaring omission from the "" item in "Chatterbox. [SEP] " Juanita Broaddrick's story	arrived	in the press after Bill Clinton had established a pattern of behavior toward	#journal#	journal_ArticleIP_21647.txt	arrive	written	OANC_written	3
know almost nothing about how to behave in virtually any social or ethical situation, so it is fortunate that Prudence has	arrived	to enlighten us. [SEP] But Prudence has a problem. [SEP] Many people e-mail her wishing to comment on her comments. [SEP] To publish these	#journal#	journal_ArticleIP_2218.txt	arrive	written	OANC_written	5
Three of the 73 Republican freshmen elected to Congress in 1994	arrived	in Washington with the status of celebrities. [SEP] One was Sonny Bono, lately replaced by his widow, Mrs. Bono. [SEP] The	#journal#	journal_ArticleIP_2313.txt	arrive	written	OANC_written	5
protection and antitrust enforcement during the Reagan years. [SEP] The regulatory agencies in Washington have grown more aggressive since Bill Clinton	arrived	in 1993. [SEP] But somehow, more federal activism has only spurred the litigious	#journal#	journal_ArticleIP_2315.txt	arrive	written	OANC_written	5
to call them) came at a moment when American fiction was relatively moribund. [SEP] For its part, The Simpsons	arrived	at what was a relatively bad period for Hollywood movies and was part of what will be remembered as an explosion of	#journal#	journal_ArticleIP_23430.txt	arrive	written	OANC_written	3
A year later, a new--yet more genuinely old--ballpark	arrived	to dispel the gloom. [SEP] Baltimore's Oriole Park at Camden Yards revived the idea of a quirkily	#journal#	journal_ArticleIP_2368.txt	arrive	written	OANC_written	3
hang of it. [SEP] Speed? [SEP] Turow's book	arrived	in three days from both Borders and Politics and Prose, in plenty of time before	#journal#	journal_ArticleIP_2411.txt	arrive	written	OANC_written	3
wrapping looked as if it had been done by a fourth grader. [SEP] However, it came bundled with the obscure psych book (which still hadn't	arrived	from the conventional stores as of New Year's Day). [SEP] Eleven days for that one is pretty	#journal#	journal_ArticleIP_2411.txt	arrive	written	OANC_written	5
that has flourished since the event itself. [SEP] It goes like this: In 1845, the fungus Phytophora infestans	arrived	on the Isle of Wight, off the coast of England, when an infected potato peel from an American ship washed ashore.	#journal#	journal_ArticleIP_2412.txt	arrive	written	OANC_written	3
sounded quite sparky on the radio. [SEP] Early that morning, reports said that someone fired at the bloodhounds, and that lawmen were closing in. [SEP] I	arrived	about 2 p.m. and roosted for a while by the police roadblock at the entrance to	#journal#	journal_ArticleIP_2444.txt	arrive	written	OANC_written	3
pantheon. [SEP] A mother's helper with a bag of tricks that promised new fun for the housebound, Dr. Benjamin Spock	arrived	on the postwar scene first. [SEP] His Baby and Child Care was published in 1946. [SEP] It revealed his gift for juggling the	#journal#	journal_ArticleIP_2537.txt	arrive	written	OANC_written	3
in its main front-page story that in western Europe only Germany is keeping its promises toward Albanian refugees. [SEP] "Of the 13,824 refugees who had	arrived	in Europe by Monday morning, 9,937--more than two-thirds of the total--have come	#journal#	journal_ArticleIP_25733.txt	arrive	written	OANC_written	5
and his female partner ("Do" and "Ti") are actually genderless aliens from the Kingdom of Heaven. [SEP] They and their "crew of students"	arrived	on earth "in staged spacecraft (UFO) crashes." [SEP] In the early 1970s, the leaders became human	#journal#	journal_ArticleIP_2583.txt	arrive	written	OANC_written	3
treated at another center. [SEP] So they transferred him to a local nonprofit hospital where I sometimes work. [SEP] He	arrived	sitting up in his stretcher, cringing in pain and risking paralysis.	#journal#	journal_ArticleIP_2662.txt	arrive	written	OANC_written	3
I worked from 80 to 110 hours a week, depending on how busy things were. [SEP] Typically, I	arrived	at 5 a.m. and left at 7:30 p.m., except every third night when I stayed to take care of patients while my team went home. [SEP] Pages were	#journal#	journal_ArticleIP_2666.txt	arrive	written	OANC_written	3
paramedics said he had been stalking his girlfriend with gun in hand. [SEP] He fled in his car when cops	arrived	and led them on a chase that ended in the massive crash. [SEP] The rest of the night was no better. [SEP] I was, as we say, "slammed." [SEP] It's	#journal#	journal_ArticleIP_2673.txt	arrive	written	OANC_written	3
patient offered credit cards, a check, and finally had her mother wire in the money, but the epidural was denied. [SEP] The cash hadn't	arrived	in time. [SEP] Certainly, these policies deserve scrutiny. [SEP] But	#journal#	journal_ArticleIP_2678.txt	arrive	written	OANC_written	5
reminder about the enormity of the crimes committed during the period of Watergate. [SEP] " According to the New York Times , McCurry	arrived	"armed for a question about comparisons to Watergate. [SEP] He got it, and almost ran out of	#journal#	journal_ArticleIP_2692.txt	arrive	written	OANC_written	3
bomb but without causing any injuries. [SEP] Yugoslavia blamed NATO. [SEP] NATO denied responsibility. [SEP] 4) Kosovar leader Ibrahim Rugova left Yugoslavia and	arrived	in Italy with his family. [SEP] Everyone wants to know whether the Serbs had forced him	#journal#	journal_ArticleIP_27012.txt	arrive	written	OANC_written	3
anti-Albanian atrocities as defamatory. [SEP] Yeltsin's own public statements on the conflict were not all that different, but now that Chernomyrdin has	arrived	on the scene, the rhetoric has become noticeably milder. [SEP] In the new envoy's first	#journal#	journal_ArticleIP_27924.txt	arrive	written	OANC_written	5
data are not good to begin with; this is simply the opinion of an officer who	arrived	on the scene after the fact. [SEP] The radar gun was invented to allow civil engineers	#journal#	journal_ArticleIP_28119.txt	arrive	written	OANC_written	3
Rubin agnostics will be glad to learn that there are two weak spots in his record. [SEP] He	arrived	in Washington as a supposed champion of the poor. [SEP] He was expected to use his	#journal#	journal_ArticleIP_28145.txt	arrive	written	OANC_written	3
16 years and got used to it. [SEP] Blair insisted on finding out why they really lost, and in this way	arrived	at a victorious campaign. [SEP] "	#journal#	journal_ArticleIP_29157.txt	arrive	written	OANC_written	3
initially puzzled by the young Japanese artist's ambitions, told her to show her work to anyone willing to look at it. [SEP] Kusama	arrived	in 1958 with a couple of thousand small drawings and watercolors, mainly of O'Keeffe-like multiseeded	#journal#	journal_ArticleIP_2928.txt	arrive	written	OANC_written	3
and Lyon tell the story of how two scientists, Paul Baran in America and Donald Davies in England,	arrived	independently at the notion of packet switching. [SEP] They trace the web of conversations that brought their ideas to the office of	#journal#	journal_ArticleIP_2933.txt	arrive	written	OANC_written	3
she sometimes sketched her expatriates with the quicker, more economical strokes of a Hemingway. [SEP] Yet she	arrived	in France in the 1950s, a time of drab poverty and rubble, one century after rich New World travelers made their first	#journal#	journal_ArticleIP_2941.txt	arrive	written	OANC_written	3
places I haven't even seen. [SEP] My wife went to Florida with her mother once. [SEP] When they	arrived	there, they met some neighbors from home who told them about a sign saying NO CANADIANS. [SEP] They never saw this sign anywhere, but they kept	#journal#	journal_ArticleIP_2941.txt	arrive	written	OANC_written	3
Hill , he hasn't really thought through the character of Anna Scott. [SEP] He must know how lucky he is that Julia Roberts	arrived	with so much astounding baggage.	#journal#	journal_ArticleIP_29492.txt	arrive	written	OANC_written	3
directorship, which he at first refused. [SEP] And the dubious account given by the newly	arrived	ex-prisoner about his concentration-camp experiences--the article that put him on the map in America--enmeshed him in controversy and	#journal#	journal_ArticleIP_2964.txt	arrive	written	OANC_written	3
Shortly after I	arrived	in the city, an unknown from the sticks come to learn philosophy at Columbia, I went uninvited to an opening at an art gallery on the	#journal#	journal_ArticleIP_2974.txt	arrive	written	OANC_written	3
entrances were not always successful. [SEP] On one occasion recounted by the author, a woman rented a horse, stripped naked, and	arrived	at the door, Lady Godiva-style. [SEP] The doorman looked her over and said, "OK, the horse can come in,	#journal#	journal_ArticleIP_2974.txt	arrive	written	OANC_written	3
then had found its own distinctive path to success. [SEP] Blacks had, in effect, recently	arrived	at the head of the line; they had problems, but so had the Irish and the Italians. [SEP] "New York will very likely in the end be an integrated	#journal#	journal_ArticleIP_2983.txt	arrive	written	OANC_written	5
Philip Roth's American Pastoral	arrived	in the bookstores a few weeks ago, and I have been hearing about it ever since. [SEP] A friend regales me over lunch with Philip Roth's inflamed	#journal#	journal_ArticleIP_2984.txt	arrive	written	OANC_written	5
magazine, prefers to think of it as a Historic Event. [SEP] Mary [SEP] Thom is herself a staff veteran, who	arrived	as a researcher at the very start and went on to serve as executive editor under Editor in Chief Robin Morgan in the 1990s. Thom	#journal#	journal_ArticleIP_3000.txt	arrive	written	OANC_written	3
Summer voter-registration drive, Branch describes the release from a Greenwood jail of 111 protesters on the same day King	arrived	in town. [SEP] Foul-smelling and haggard from a six-day hunger strike, ... some of them	#journal#	journal_ArticleIP_3043.txt	arrive	written	OANC_written	3
confide in me as when you	arrived	once at some finely wrought conclusion in the old days that now	#journal#	journal_ArticleIP_30531.txt	arrive	written	OANC_written	3
nibbled by King Henry VIII--which is odd, since bananas were previously though to have first	arrived	in England about 300 years later.	#journal#	journal_ArticleIP_30642.txt	arrive	written	OANC_written	5
rate photos for beauty. [SEP] Chinese, English, and Indian women prefer the same Greek men; Hispanic and black Americans agree on which newly	arrived	Asian women are the genuine babes, and so on.	#journal#	journal_ArticleIP_3076.txt	arrive	written	OANC_written	5
to be picked up at 8," one correspondent, T., reports. "I hired some help for the day to help me move. [SEP] When I	arrived	that morning to pick it up, I was told it was not there yet. [SEP] After much complaining, a few phone calls were made, and	#journal#	journal_ArticleIP_30822.txt	arrive	written	OANC_written	3
Dior	arrived	on the Paris fashion scene after World War II, just in time to do away with the enforced practicality of women's wartime clothing--usually refurbished	#journal#	journal_ArticleIP_3092.txt	arrive	written	OANC_written	3
departure. [SEP] The heavy threat of the ancient long skirt was long forgotten--that's not what miniskirts rebelled against. [SEP] The miniskirt	arrived	not only as a separate garment but also as the bottom of a little dress, worn	#journal#	journal_ArticleIP_3106.txt	arrive	written	OANC_written	3
independence for Scotland, who received "the biggest cheer of the day" when he	arrived	in full Highland dress with kilt and sporran and announced menacingly, "This is only the beginning."	#journal#	journal_ArticleIP_31562.txt	arrive	written	OANC_written	3
took a tremendous amount of effort to define. [SEP] We argued about what it really means and sent drafts back and forth for about a week before we	arrived	at the following definition which (like all definitions that one struggles with) looks	#journal#	journal_ArticleIP_3171.txt	arrive	written	OANC_written	3
a pool. [SEP] Poor Michael Bolton-ish Satan is the only character with complex emotions; he is disconsolate over his empty affair with the recently	arrived	Saddam Hussein, who only wants to fuck him in the ass and take over the world	#journal#	journal_ArticleIP_31728.txt	arrive	written	OANC_written	3
applicable to campaign contributions. [SEP] The immediate linguistic conduit through which it	arrived	was probably the language of Wall Street, in which soft money may refer to payments made in the form of noncash goods and services.	#journal#	journal_ArticleIP_3176.txt	arrive	written	OANC_written	3
The traditional summer "silly season" finally	arrived	in Fleet Street Friday when most British papers chose as their top news story a claim that sunbathing is	#journal#	journal_ArticleIP_31807.txt	arrive	written	OANC_written	3
him, and then carry it everywhere, noting strangers' reactions--so he ordered one. [SEP] It	arrived	and looked utterly unlike him. [SEP] Not even close. [SEP] What it looked like was a standard, creepy doll. [SEP] Which gave rise to speculation that maybe,	#journal#	journal_ArticleIP_31951.txt	arrive	written	OANC_written	3
delayed resolving these issues until final status talks because they were intractable. [SEP] Now final status talks have	arrived	and, lo and behold, the issues are still intractable. [SEP] Already some are predicting the "final" talks won't be	#journal#	journal_ArticleIP_32060.txt	arrive	written	OANC_written	5
human. [SEP] The digital age that has now	arrived	is almost exactly in the image that Star Wars prophesied, so that celebrating the movie is a way of honoring	#journal#	journal_ArticleIP_3207.txt	arrive	written	OANC_written	5
Argentina's--finally devalued in January, the predicted hyperinflation never	arrived	and neither did the financial meltdown. [SEP] Indeed, it is starting to look as if the collapse of the real was just what the doctor ordered.	#journal#	journal_ArticleIP_32173.txt	arrive	written	OANC_written	3
flyers have ever seen. [SEP] " When they	arrived	at their destination, M. and her family made a terrible discovery, "We discovered	#journal#	journal_ArticleIP_32221.txt	arrive	written	OANC_written	5
said, "This movie must be working because people come up to me all the time and say, 'Thank God, you're alive.' " The other day an envelope	arrived	at my door with a bunch of sticks lashed together in the familiar form of the Blair Witch	#journal#	journal_ArticleIP_32355.txt	arrive	written	OANC_written	3
film. [SEP] "In 1997," Rafferty writes, "independent movie after independent movie	arrived	in theaters on waves of critical admiration, and moviegoers unaccustomed to the peculiar moral universe of indie-ness must have emerged	#journal#	journal_ArticleIP_3246.txt	arrive	written	OANC_written	3
Franklin and Croner toss it into the trash. [SEP] When, later, the newly domesticated Ellen whips up a masterful Thanksgiving dinner, her skills have	arrived	out of nowhere.	#journal#	journal_ArticleIP_3264.txt	arrive	written	OANC_written	5
